word,rank,cefr,pos,ipa,meaning_vi,example_en,is_concrete_noun,orig_rank,sfi,freq_per_million,topic_code,topic
fine,478,A1,adj,/fˈaɪn/,"tốt, ổn; tinh tế",I feel fine today.,FALSE,597,62.11,162,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
street,479,A1,n,/stɹˈit/,đường phố,The street is full of shops.,TRUE,598,62.11,162,KG,"Không gian, vị trí & địa lý"
former,480,A1,adj,/fˈɔɹmɚ/,"trước đây, cựu",He is a former president.,FALSE,599,62.1,162,TG,Thời gian
contact,481,A1,v,/kˈɑntˌækt/,"liên lạc, liên hệ",Please contact me by email.,FALSE,600,62.09,162,GT,"Giao tiếp, ngôn ngữ & truyền thông"
particularly,482,A1,adv,/pˌɑɹtˈɪkjəlɚli/,đặc biệt là,I am particularly tired today.,FALSE,601,62.09,162,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
wife,483,A1,n,/wˈaɪf/,vợ,His wife is a doctor.,FALSE,602,62.06,161,GD,Gia đình & quan hệ thân thuộc
sport,484,A1,n,/spˈɔɹt/,thể thao,Football is a popular sport.,FALSE,603,62.06,161,GI,"Nghệ thuật, giải trí & thể thao"
prepare,485,A1,v,/pɹipˈɛɹ/,chuẩn bị,She prepared dinner for guests.,FALSE,604,62.04,160,HD,Hành động & chuyển động
discuss,486,A1,v,/dɪskˈʌs/,"thảo luận, bàn luận",Let's discuss the plan.,FALSE,605,62.03,160,GT,"Giao tiếp, ngôn ngữ & truyền thông"
response,487,A1,n,/ɹɪspˈɑns/,"sự phản hồi, câu trả lời",I got no response to my email.,FALSE,606,62.03,159,GT,"Giao tiếp, ngôn ngữ & truyền thông"
voice,488,A1,n,/vˈɔɪs/,giọng nói,She has a lovely voice.,FALSE,607,62.02,159,NG,Con người & cơ thể
piece,489,A1,n,/pˈis/,"miếng, mảnh; tác phẩm",Have a piece of cake.,FALSE,608,62.01,159,SL,"Số lượng, đo lường & kích thước"
finish,490,A1,v,/fˈɪnɪʃ/,"kết thúc, hoàn thành",Finish your homework first.,FALSE,609,62,158,HD,Hành động & chuyển động
suppose,491,A1,v,/səpˈoʊz/,cho rằng; giả sử,I suppose you are right.,FALSE,610,61.97,157,TD,"Tư duy, nhận thức & giác quan"
apply,492,A1,v,/əplˈaɪ/,áp dụng; nộp đơn,She applied for the job.,FALSE,611,61.97,157,HD,Hành động & chuyển động
president,493,A1,n,/pɹˈɛzədˌɛnt/,chủ tịch; tổng thống,The president gave a speech.,FALSE,612,61.97,157,CT,"Chính trị, luật pháp & quân sự"
fire,494,A1,n,/fˈaɪɚ/,lửa; hỏa hoạn,The fire spread quickly.,TRUE,613,61.96,157,TN,"Thiên nhiên, môi trường & thời tiết"
compare,495,A1,v,/kəmpˈɛɹ/,so sánh,Compare these two pictures.,FALSE,614,61.95,157,TD,"Tư duy, nhận thức & giác quan"
court,496,A1,n,/kˈɔɹt/,tòa án; sân (thể thao),The case went to court.,TRUE,615,61.94,156,CT,"Chính trị, luật pháp & quân sự"
police,497,A1,n,/pəlˈis/,cảnh sát,Call the police right now.,FALSE,616,61.93,156,CT,"Chính trị, luật pháp & quân sự"
store,498,A1,n,/stˈɔɹ/,cửa hàng,I bought milk at the store.,TRUE,617,61.92,156,KT,"Kinh doanh, kinh tế & tài chính"
poor,499,A1,adj,/pˈuɹ/,nghèo; kém,The poor family needs help.,FALSE,618,61.92,156,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
knowledge,500,A1,n,/nˈɑlədʒ/,kiến thức,She has deep knowledge of history.,FALSE,619,61.91,155,TD,"Tư duy, nhận thức & giác quan"
laugh,501,A2,v,/lˈæf/,cười,The joke made everyone laugh.,FALSE,620,61.91,155,CX,"Cảm xúc, tính cách & thái độ"
arm,502,A2,n,/ˈɑɹm/,cánh tay,He broke his arm.,TRUE,621,61.9,155,NG,Con người & cơ thể
heart,503,A2,n,/hˈɑɹt/,trái tim; tấm lòng,My heart beats fast.,TRUE,622,61.9,155,NG,Con người & cơ thể
source,504,A2,n,/sˈɔɹs/,nguồn,Water is a source of life.,FALSE,623,61.9,155,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
employee,505,A2,n,/ɛmplˈɔɪi/,nhân viên,The company has fifty employees.,FALSE,624,61.89,154,CV,Công việc & nghề nghiệp
manage,506,A2,v,/mˈænədʒ/,quản lý; xoay xở,She manages a small team.,FALSE,625,61.87,154,CV,Công việc & nghề nghiệp
simply,507,A2,adv,/sˈɪmpli/,đơn giản là; chỉ,It is simply too expensive.,FALSE,626,61.86,153,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
bank,508,A2,n,/bˈæŋk/,ngân hàng; bờ (sông),I went to the bank this morning.,TRUE,627,61.85,153,KT,"Kinh doanh, kinh tế & tài chính"
firm,509,A2,n,/fˈɝm/,"công ty, hãng",She works for a law firm.,FALSE,628,61.84,153,KT,"Kinh doanh, kinh tế & tài chính"
cell,510,A2,n,/sˈɛl/,tế bào; xà lim; ô,The human body has many cells.,FALSE,629,61.84,153,KH,Khoa học & công nghệ
article,511,A2,n,/ˈɑɹtəkəl/,bài báo; điều khoản,I read an interesting article.,FALSE,630,61.81,152,GT,"Giao tiếp, ngôn ngữ & truyền thông"
fast,512,A2,adj,/fˈæst/,nhanh,He is a fast runner.,FALSE,631,61.8,151,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
attack,513,A2,v,/ətˈæk/,tấn công,The dog attacked the stranger.,FALSE,632,61.79,151,CT,"Chính trị, luật pháp & quân sự"
foreign,514,A2,adj,/fˈɔɹən/,"nước ngoài, ngoại",I want to learn a foreign language.,FALSE,633,61.79,151,KG,"Không gian, vị trí & địa lý"
surprise,515,A2,n,/sɚpɹˈaɪz/,sự ngạc nhiên; điều bất ngờ,The party was a big surprise.,FALSE,634,61.78,151,CX,"Cảm xúc, tính cách & thái độ"
feature,516,A2,n,/fˈitʃɚ/,đặc điểm; tính năng,This phone has many features.,FALSE,635,61.77,150,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
factor,517,A2,n,/fˈæktɚ/,"yếu tố, nhân tố",Price is an important factor.,FALSE,636,61.77,150,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
pretty,518,A2,adv,/pɹˈɪti/,khá; (adj) xinh,The test was pretty hard.,FALSE,637,61.76,150,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
recently,519,A2,adv,/ɹˈisəntli/,gần đây,I recently moved to a new city.,FALSE,638,61.76,150,TG,Thời gian
affect,520,A2,v,/əfˈɛkt/,"ảnh hưởng, tác động",The weather affects my mood.,FALSE,639,61.76,150,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
drop,521,A2,v,/dɹˈɑp/,rơi; làm rơi; giảm,Don't drop the plate.,FALSE,640,61.75,150,HD,Hành động & chuyển động
recent,522,A2,adj,/ɹˈisənt/,"gần đây, mới đây","In recent years, prices rose.",FALSE,641,61.74,149,TG,Thời gian
relate,523,A2,v,/ɹɪlˈeɪt/,liên quan; kể lại,This topic relates to health.,FALSE,642,61.74,149,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
official,524,A2,adj,/əfˈɪʃəl/,chính thức,This is the official website.,FALSE,643,61.73,149,CT,"Chính trị, luật pháp & quân sự"
financial,525,A2,adj,/fənˈænʃəl/,thuộc tài chính,She gives financial advice.,FALSE,644,61.73,149,KT,"Kinh doanh, kinh tế & tài chính"
miss,526,A2,v,/mˈɪs/,nhớ; lỡ; bỏ lỡ,I miss my family.,FALSE,645,61.72,149,CX,"Cảm xúc, tính cách & thái độ"
art,527,A2,n,/ˈɑɹt/,nghệ thuật,She studies modern art.,FALSE,646,61.72,149,GI,"Nghệ thuật, giải trí & thể thao"
campaign,528,A2,n,/kæmpˈeɪn/,chiến dịch,They ran an advertising campaign.,FALSE,647,61.71,148,CT,"Chính trị, luật pháp & quân sự"
private,529,A2,adj,/pɹˈaɪvət/,riêng tư; tư nhân,This is a private conversation.,FALSE,648,61.71,148,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
pause,530,A2,v,/pˈɔz/,tạm dừng,He paused before answering.,FALSE,649,61.7,148,HD,Hành động & chuyển động
forget,531,A2,v,/fɚɡˈɛt/,quên,Don't forget your keys.,FALSE,651,61.68,147,TD,"Tư duy, nhận thức & giác quan"
page,532,A2,n,/pˈeɪdʒ/,trang (sách/giấy),Turn to page ten.,TRUE,652,61.68,147,GT,"Giao tiếp, ngôn ngữ & truyền thông"
worry,533,A2,v,/wˈɝi/,lo lắng,Don't worry about the test.,FALSE,653,61.68,147,CX,"Cảm xúc, tính cách & thái độ"
summer,534,A2,n,/sˈʌmɚ/,mùa hè,We travel every summer.,FALSE,654,61.67,147,TG,Thời gian
drink,535,A2,v,/dɹˈɪŋk/,uống,Drink plenty of water.,FALSE,655,61.66,147,AU,Ăn uống & thực phẩm
opinion,536,A2,n,/əpˈɪnjən/,"ý kiến, quan điểm","In my opinion, he is right.",FALSE,656,61.66,147,TD,"Tư duy, nhận thức & giác quan"
park,537,A2,n,/pˈɑɹk/,công viên,We walked in the park.,TRUE,657,61.65,146,KG,"Không gian, vị trí & địa lý"
represent,538,A2,v,/ɹˌɛpɹɪzˈɛnt/,đại diện; tượng trưng,She represents our school.,FALSE,658,61.64,146,CT,"Chính trị, luật pháp & quân sự"
key,539,A2,n,/kˈi/,chìa khóa; then chốt,I lost my house key.,TRUE,659,61.64,146,NC,"Nhà cửa, đồ vật & trang phục"
inside,540,A2,adv,/ˌɪnsˈaɪd/,bên trong,Let's wait inside.,FALSE,660,61.62,145,KG,"Không gian, vị trí & địa lý"
manager,541,A2,n,/mˈænədʒɚ/,người quản lý,The manager is very busy.,FALSE,661,61.6,145,CV,Công việc & nghề nghiệp
international,542,A2,adj,/ˌɪntɚnˈæʃənəl/,quốc tế,This is an international airport.,FALSE,662,61.59,144,CT,"Chính trị, luật pháp & quân sự"
contain,543,A2,v,/kəntˈeɪn/,"chứa, chứa đựng",This box contains books.,FALSE,663,61.58,144,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
notice,544,A2,v,/nˈoʊtəs/,"nhận thấy, để ý",I noticed a new sign.,FALSE,664,61.56,143,TD,"Tư duy, nhận thức & giác quan"
wonder,545,A2,v,/wˈʌndɚ/,tự hỏi; ngạc nhiên,I wonder where she is.,FALSE,665,61.56,143,TD,"Tư duy, nhận thức & giác quan"
nature,546,A2,n,/nˈeɪtʃɚ/,thiên nhiên; bản chất,I love spending time in nature.,FALSE,666,61.55,143,TN,"Thiên nhiên, môi trường & thời tiết"
structure,547,A2,n,/stɹˈʌktʃɚ/,cấu trúc; công trình,The bridge has a strong structure.,FALSE,667,61.55,143,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
section,548,A2,n,/sˈɛkʃən/,phần; khu vực,Read the first section only.,FALSE,668,61.54,142,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
exactly,549,A2,adv,/ɪɡzˈæktli/,chính xác,That's exactly what I meant.,FALSE,670,61.52,142,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
plant,550,A2,n,/plˈænt/,cây; nhà máy,I water my plants every day.,TRUE,671,61.52,142,TN,"Thiên nhiên, môi trường & thời tiết"
paint,551,A2,v,/pˈeɪnt/,sơn; vẽ (bằng màu),They painted the wall blue.,FALSE,672,61.51,142,GI,"Nghệ thuật, giải trí & thể thao"
worker,552,A2,n,/wˈɝkɚ/,"công nhân, người lao động",The workers built the road.,FALSE,673,61.5,141,CV,Công việc & nghề nghiệp
press,553,A2,v,/pɹˈɛs/,"ấn, nhấn; ép",Press the red button.,FALSE,674,61.5,141,HD,Hành động & chuyển động
whatever,554,A2,pron,/wˌʌtˈɛvɚ/,bất cứ điều gì,Do whatever you like.,FALSE,675,61.5,141,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
necessary,555,A2,adj,/nˈɛsəsˌɛɹi/,cần thiết,Sleep is necessary for health.,FALSE,676,61.5,141,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
region,556,A2,n,/ɹˈidʒən/,"vùng, khu vực",This region is famous for tea.,FALSE,677,61.48,141,KG,"Không gian, vị trí & địa lý"
growth,557,A2,n,/ɡɹˈoʊθ/,"sự tăng trưởng, phát triển",Economic growth is slow.,FALSE,678,61.46,140,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
evening,558,A2,n,/ˈivnɪŋ/,buổi tối,I read every evening.,FALSE,679,61.46,140,TG,Thời gian
influence,559,A2,n,/ˈɪnfluəns/,ảnh hưởng,Parents have a big influence on children.,FALSE,680,61.46,140,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
respect,560,A2,n,/ɹɪspˈɛkt/,sự tôn trọng,Show respect to your teachers.,FALSE,681,61.46,140,CX,"Cảm xúc, tính cách & thái độ"
various,561,A2,adj,/vˈɛɹiəs/,"khác nhau, đa dạng",The shop sells various goods.,FALSE,682,61.46,140,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
catch,562,A2,v,/kˈætʃ/,bắt; kịp; mắc (bệnh),Catch the ball!,FALSE,683,61.45,140,HD,Hành động & chuyển động
skill,563,A2,n,/skˈɪl/,kỹ năng,Cooking is a useful skill.,FALSE,685,61.43,139,CV,Công việc & nghề nghiệp
attempt,564,A2,n,/ətˈɛmpt/,"sự cố gắng, nỗ lực",This is my first attempt.,FALSE,686,61.42,139,HD,Hành động & chuyển động
son,565,A2,n,/sˈʌn/,con trai,Their son is very tall.,FALSE,687,61.42,139,GD,Gia đình & quan hệ thân thuộc
simple,566,A2,adj,/sˈɪmpəl/,đơn giản,This is a simple task.,FALSE,688,61.41,138,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
medium,567,A2,adj,/mˈidiəm/,"trung bình, vừa",I ordered a medium coffee.,FALSE,689,61.41,138,SL,"Số lượng, đo lường & kích thước"
average,568,A2,adj,/ˈævɚɪdʒ/,trung bình,The average age is thirty.,FALSE,690,61.41,138,SL,"Số lượng, đo lường & kích thước"
stock,569,A2,n,/stˈɑk/,cổ phiếu; hàng dự trữ,The item is out of stock.,FALSE,691,61.4,138,KT,"Kinh doanh, kinh tế & tài chính"
management,570,A2,n,/mˈænədʒmənt/,sự quản lý; ban quản lý,Good management saves money.,FALSE,692,61.39,138,CV,Công việc & nghề nghiệp
character,571,A2,n,/kˈɛɹɪktɚ/,tính cách; nhân vật; ký tự,He is my favorite character.,FALSE,693,61.38,138,CX,"Cảm xúc, tính cách & thái độ"
bed,572,A2,n,/bˈɛd/,cái giường,I make my bed every morning.,TRUE,694,61.38,137,NC,"Nhà cửa, đồ vật & trang phục"
hit,573,A2,v,/hˈɪt/,"đánh; đụng, va",The car hit a tree.,FALSE,695,61.38,137,HD,Hành động & chuyển động
establish,574,A2,v,/ɪstˈæblɪʃ/,thành lập; thiết lập,They established a new school.,FALSE,696,61.37,137,HD,Hành động & chuyển động
indeed,575,A2,adv,/ˌɪndˈid/,"thật vậy, quả thực",It is indeed a difficult problem.,FALSE,697,61.36,137,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
final,576,A2,adj,/fˈaɪnəl/,cuối cùng,This is my final decision.,FALSE,698,61.36,137,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
economy,577,A2,n,/ɪkˈɑnəmi/,nền kinh tế,The economy is growing slowly.,FALSE,699,61.35,137,KT,"Kinh doanh, kinh tế & tài chính"
fit,578,A2,v,/fˈɪt/,vừa vặn; phù hợp,These shoes fit me well.,FALSE,700,61.35,137,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
guy,579,A2,n,/ɡˈaɪ/,"anh chàng, gã",He is a nice guy.,FALSE,701,61.33,136,NG,Con người & cơ thể
function,580,A2,n,/fˈʌŋkʃən/,"chức năng, công dụng",What is the function of this button?,FALSE,702,61.32,135,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
yesterday,581,A2,adv,/jˈɛstɚdˌeɪ/,hôm qua,I saw her yesterday.,FALSE,703,61.32,135,TG,Thời gian
image,582,A2,n,/ˈɪmədʒ/,hình ảnh,The image is very clear.,TRUE,704,61.31,135,GI,"Nghệ thuật, giải trí & thể thao"
size,583,A2,n,/sˈaɪz/,"kích cỡ, cỡ",What size do you wear?,FALSE,705,61.3,135,SL,"Số lượng, đo lường & kích thước"
behavior,584,A2,n,/bɪhˈeɪvjɚ/,"hành vi, cách cư xử",His behavior was strange.,FALSE,706,61.3,135,CX,"Cảm xúc, tính cách & thái độ"
addition,585,A2,n,/ədˈɪʃən/,sự thêm vào; phép cộng,"In addition, we need more time.",FALSE,707,61.3,135,SL,"Số lượng, đo lường & kích thước"
determine,586,A2,v,/dətˈɝmən/,xác định; quyết tâm,Scientists determined the cause.,FALSE,708,61.29,134,TD,"Tư duy, nhận thức & giác quan"
station,587,A2,n,/stˈeɪʃən/,nhà ga; trạm,I'll meet you at the station.,TRUE,709,61.28,134,DL,Giao thông & du lịch
population,588,A2,n,/pˌɑpjəlˈeɪʃən/,dân số,The city has a large population.,FALSE,710,61.28,134,XH,"Xã hội, cộng đồng, văn hóa & tôn giáo"
fail,589,A2,v,/fˈeɪl/,thất bại; trượt,He failed the exam.,FALSE,711,61.27,134,HD,Hành động & chuyển động
environment,590,A2,n,/ɪnvˈaɪɹənmənt/,môi trường,We must protect the environment.,FALSE,712,61.27,134,TN,"Thiên nhiên, môi trường & thời tiết"
production,591,A2,n,/pɹədˈʌkʃən/,sự sản xuất,Car production increased this year.,FALSE,713,61.25,133,KT,"Kinh doanh, kinh tế & tài chính"
contract,592,A2,n,/kˈɑntɹˌækt/,hợp đồng,She signed a new contract.,TRUE,714,61.24,133,KT,"Kinh doanh, kinh tế & tài chính"
player,593,A2,n,/plˈeɪɚ/,"người chơi, cầu thủ",He is a famous football player.,FALSE,715,61.22,132,GI,"Nghệ thuật, giải trí & thể thao"
comment,594,A2,n,/kˈɑmɛnt/,"lời bình luận, nhận xét",She made a helpful comment.,FALSE,716,61.22,132,GT,"Giao tiếp, ngôn ngữ & truyền thông"
enter,595,A2,v,/ˈɛntɚ/,đi vào; nhập,Please enter the room quietly.,FALSE,717,61.21,132,HD,Hành động & chuyển động
occur,596,A2,v,/əkˈɝ/,xảy ra,The accident occurred at night.,FALSE,718,61.2,132,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
alone,597,A2,adj,/əlˈoʊn/,"một mình, cô đơn",She lives alone.,FALSE,719,61.2,132,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
significant,598,A2,adj,/səɡnˈɪfɪkənt/,quan trọng; đáng kể,There was a significant change.,FALSE,720,61.18,131,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
drug,599,A2,n,/dɹˈʌɡ/,thuốc; ma túy,The doctor gave me a new drug.,FALSE,721,61.18,131,SK,Sức khỏe & y tế
wall,600,A2,n,/wˈɔl/,bức tường,Hang the picture on the wall.,TRUE,722,61.17,131,NC,"Nhà cửa, đồ vật & trang phục"
series,601,A2,n,/sˈɪɹiz/,"loạt, chuỗi; bộ phim",I watched a new TV series.,FALSE,723,61.17,131,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
direct,602,A2,adj,/dɚˈɛkt/,trực tiếp; thẳng,Is there a direct flight?,FALSE,724,61.16,131,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
success,603,A2,n,/səksˈɛs/,sự thành công,Hard work leads to success.,FALSE,725,61.15,130,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
tomorrow,604,A2,adv,/təmˈɑɹˌoʊ/,ngày mai,See you tomorrow.,FALSE,726,61.14,130,TG,Thời gian
director,605,A2,n,/dɚˈɛktɚ/,giám đốc; đạo diễn,She is the school director.,FALSE,727,61.13,130,CV,Công việc & nghề nghiệp
clearly,606,A2,adv,/klˈɪɹli/,rõ ràng,She clearly explained the rules.,FALSE,728,61.13,130,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
lack,607,A2,n,/lˈæk/,sự thiếu hụt,There is a lack of water.,FALSE,729,61.12,129,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
review,608,A2,n,/ɹˌivjˈu/,bài đánh giá; sự xem lại,I read a review of the film.,FALSE,730,61.12,129,GT,"Giao tiếp, ngôn ngữ & truyền thông"
depend,609,A2,v,/dɪpˈɛnd/,phụ thuộc; tùy thuộc,It depends on the weather.,FALSE,731,61.1,129,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
race,610,A2,n,/ɹˈeɪs/,cuộc đua; chủng tộc,He won the running race.,FALSE,732,61.1,129,GI,"Nghệ thuật, giải trí & thể thao"
recognize,611,A2,v,/ɹˈɛkəɡnˌaɪz/,nhận ra; công nhận,I didn't recognize you.,FALSE,733,61.1,129,TD,"Tư duy, nhận thức & giác quan"
window,612,A2,n,/wˈɪndoʊ/,cửa sổ,Open the window for fresh air.,TRUE,734,61.1,129,NC,"Nhà cửa, đồ vật & trang phục"
purpose,613,A2,n,/pˈɝpəs/,mục đích,What is the purpose of this trip?,FALSE,735,61.09,128,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
department,614,A2,n,/dɪpˈɑɹtmənt/,"phòng, ban; khoa",She works in the sales department.,FALSE,736,61.09,128,CV,Công việc & nghề nghiệp
gain,615,A2,v,/ɡˈeɪn/,đạt được; tăng,He gained a lot of experience.,FALSE,737,61.08,128,HD,Hành động & chuyển động
tree,616,A2,n,/tɹˈi/,cái cây,The tree is very tall.,TRUE,738,61.08,128,TN,"Thiên nhiên, môi trường & thời tiết"
college,617,A2,n,/kˈɑlɪdʒ/,"trường cao đẳng, đại học",My sister is in college.,TRUE,739,61.07,128,HT,Giáo dục & học tập
argue,618,A2,v,/ˈɑɹɡju/,tranh luận; cãi nhau,They often argue about money.,FALSE,740,61.07,128,GT,"Giao tiếp, ngôn ngữ & truyền thông"
board,619,A2,n,/bˈɔɹd/,bảng; ban (lãnh đạ); ván,Write it on the board.,TRUE,741,61.06,128,NC,"Nhà cửa, đồ vật & trang phục"
holiday,620,A2,n,/hˈɑlədˌeɪ/,kỳ nghỉ; ngày lễ,We are going on holiday soon.,FALSE,742,61.05,127,DL,Giao thông & du lịch
mark,621,A2,n,/mˈɑɹk/,dấu; điểm số,She got a high mark.,FALSE,743,61.05,127,HT,Giáo dục & học tập
church,622,A2,n,/tʃˈɝtʃ/,nhà thờ,They go to church on Sundays.,TRUE,744,61.02,127,XH,"Xã hội, cộng đồng, văn hóa & tôn giáo"
machine,623,A2,n,/məʃˈin/,cái máy,This machine makes coffee.,TRUE,745,61.02,126,KH,Khoa học & công nghệ
achieve,624,A2,v,/ətʃˈiv/,đạt được,She achieved her goal.,FALSE,746,61.02,126,HD,Hành động & chuyển động
item,625,A2,n,/ˈaɪtəm/,"món, mục, thứ",Add this item to the list.,FALSE,747,61.02,126,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
prove,626,A2,v,/pɹˈuv/,chứng minh,Can you prove it?,FALSE,748,61.02,126,TD,"Tư duy, nhận thức & giác quan"
cent,627,A2,n,/sˈɛnt/,xu (tiền),This costs fifty cents.,FALSE,749,61.02,126,KT,"Kinh doanh, kinh tế & tài chính"
season,628,A2,n,/sˈizən/,mùa,Autumn is my favorite season.,FALSE,750,61.01,126,TG,Thời gian
floor,629,A2,n,/flˈɔɹ/,sàn nhà; tầng,Don't sit on the floor.,TRUE,751,61.01,126,NC,"Nhà cửa, đồ vật & trang phục"
stuff,630,A2,n,/stˈʌf/,"đồ đạc, thứ",Put your stuff over there.,FALSE,752,61.01,126,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
wide,631,A2,adj,/wˈaɪd/,rộng,The river is very wide.,FALSE,753,61.01,126,SL,"Số lượng, đo lường & kích thước"
method,632,A2,n,/mˈɛθəd/,phương pháp,This is a new teaching method.,FALSE,755,61.01,126,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
analysis,633,A2,n,/ənˈæləsəs/,sự phân tích,The data needs careful analysis.,FALSE,756,61,126,TD,"Tư duy, nhận thức & giác quan"
election,634,A2,n,/ɪlˈɛkʃən/,cuộc bầu cử,The election is next month.,FALSE,757,60.99,126,CT,"Chính trị, luật pháp & quân sự"
military,635,A2,adj,/mˈɪlətˌɛɹi/,thuộc quân sự,He joined the military school.,FALSE,758,60.99,126,CT,"Chính trị, luật pháp & quân sự"
hotel,636,A2,n,/hoʊtˈɛl/,khách sạn,We stayed at a nice hotel.,TRUE,759,60.99,126,DL,Giao thông & du lịch
club,637,A2,n,/klˈʌb/,câu lạc bộ,I joined the chess club.,FALSE,760,60.99,126,XH,"Xã hội, cộng đồng, văn hóa & tôn giáo"
movie,638,A2,n,/mˈuvi/,phim,Let's watch a movie tonight.,FALSE,762,60.99,126,GI,"Nghệ thuật, giải trí & thể thao"
doctor,639,A2,n,/dˈɑktɚ/,bác sĩ,The doctor examined the patient.,TRUE,763,60.98,125,SK,Sức khỏe & y tế
discussion,640,A2,n,/dɪskˈʌʃən/,cuộc thảo luận,We had a long discussion.,FALSE,764,60.98,125,GT,"Giao tiếp, ngôn ngữ & truyền thông"
sorry,641,A2,adj,/sˈɑɹi/,xin lỗi; tiếc,I'm sorry for being late.,FALSE,765,60.98,125,CX,"Cảm xúc, tính cách & thái độ"
challenge,642,A2,n,/tʃˈæləndʒ/,thử thách,Learning English is a challenge.,FALSE,766,60.98,125,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
nation,643,A2,n,/nˈeɪʃən/,"quốc gia, dân tộc",The whole nation celebrated.,FALSE,767,60.96,125,CT,"Chính trị, luật pháp & quân sự"
nearly,644,A2,adv,/nˈɪɹli/,"gần, suýt",It is nearly midnight.,FALSE,768,60.96,125,SL,"Số lượng, đo lường & kích thước"
statement,645,A2,n,/stˈeɪtmənt/,lời tuyên bố; bản kê,He made a public statement.,FALSE,769,60.95,125,GT,"Giao tiếp, ngôn ngữ & truyền thông"
link,646,A2,n,/lˈɪŋk/,liên kết; mối liên hệ,Click the link to continue.,FALSE,770,60.95,124,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
introduce,647,A2,v,/ˌɪntɹədˈus/,giới thiệu,Let me introduce my friend.,FALSE,772,60.94,124,GT,"Giao tiếp, ngôn ngữ & truyền thông"
advantage,648,A2,n,/ædvˈæntɪdʒ/,"lợi thế, ưu điểm",Speaking English is an advantage.,FALSE,773,60.94,124,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
ready,649,A2,adj,/ɹˈɛdi/,sẵn sàng,Are you ready to go?,FALSE,774,60.94,124,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
marry,650,A2,v,/mˈɛɹi/,"kết hôn, cưới",They will marry in spring.,FALSE,775,60.93,124,GD,Gia đình & quan hệ thân thuộc
strike,651,A2,v,/stɹˈaɪk/,đánh; đình công,The clock struck twelve.,FALSE,776,60.93,124,HD,Hành động & chuyển động
mile,652,A2,n,/mˈaɪl/,dặm (đơn vị),The town is five miles away.,FALSE,777,60.92,124,SL,"Số lượng, đo lường & kích thước"
seek,653,A2,v,/sˈik/,tìm kiếm,She is seeking a new job.,FALSE,778,60.92,123,HD,Hành động & chuyển động
ability,654,A2,n,/əbˈɪlətˌi/,khả năng,He has the ability to lead.,FALSE,779,60.9,123,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
unit,655,A2,n,/jˈunət/,đơn vị,A meter is a unit of length.,FALSE,780,60.9,123,SL,"Số lượng, đo lường & kích thước"
card,656,A2,n,/kˈɑɹd/,tấm thẻ; thiệp,I paid with a credit card.,TRUE,781,60.89,123,NC,"Nhà cửa, đồ vật & trang phục"
hospital,657,A2,n,/hˈɑspˌɪtəl/,bệnh viện,She works at a hospital.,TRUE,782,60.88,123,SK,Sức khỏe & y tế
quickly,658,A2,adv,/kwˈɪkli/,nhanh chóng,Please answer quickly.,FALSE,783,60.86,122,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
